[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
56,"(면대면채널) 
보험 종목 변경
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 변경 이후 재 변경 불가,,보험 종목 변경 후에는 재 변경은 가능하지 않습니다. 괜찮으십니까?,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. (고혈압당뇨YES건강보험) 서류제출 안내,,건강검진결과지 또는 소견서 FAX 또는 문자 팩스로 발송해 주시면 접수 가능 합니다. ,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경된 내용은 언제부터 반영되나요?
,,4. 추징금 및 반제금 발생 및 금액 안내  ,,"[프라임평생설계보험]
자유설계형(1형)으로 변경할 경우, 피보험자가 60세 생존시 주계약의 40%(05.06.01이전은 50%)를 받으실 수 있습니다
변경 시 회사로 더 납입해주실 금액(추징금)발생과 보험료가 인상 됩니다. 
보험료는 000원에서 000원으로 인상되며, 납입하실 금액은 000원 입니다. 고객님의 계좌에서 즉시출금으로 납입하거나 가상계좌로 입금 가능하신데 어떤 방법이 좋으세요? ","[고혈압당뇨YES 건강보험]
표준체형(1형)으로 변경할 경우, 피보험자가 더 이상 고혈압 및 당노병 유병자가 아님을 증명하는 건강검진결과지와 소견서를 제출하여 조건을 충적하는 경우 계약전환이 가능 합니다. 
계약변경시 보험료는 000원에서 000원으로 변경 되고, 차액 발생 시 정산하여 지급해 드립니다. 
정산금액 입금 받으실 고객님 명의의 은행명과 계좌번호 말씀 부탁 드립니다",,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"
5.Black list 검증 대상자의 국적 및 영문명
5-1. CDD & 실제 소유자 확인",,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
소지하고 계신 신분증(주민등록증, 운전면허증, 외국인등록증 등)의 발급일자를 말씀해 주시겠습니까?
실례지만, 하시는 일이 어떻게 되시는지요? (+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 [계약자명]님 맞으시죠? 
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 최저 상환 금액 발생시 안내,,기존에 사용 중인 대출 원금의 일부와 이자 000원 상환 후 처리 가능합니다. ,,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,7. 증권 자동 재 발송 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
57,"UL 약정보험료
",1. 변경 후 월 약정보험료 금액 안내,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 보험료 증액 또는 감액 가능함 안내,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 증권 자동 재발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
58,"연금정정
(연금계약변경)
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,"유지 중인 계약건 총 0건 있으신데요, 000 계약건에 대한 신청 이십니까?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 연금 변경 요청 내용 확인,,"현재는 00으로 되어 있는데 , 어떻게 변경하실 예정이십니까?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. 연금 변경 기간  및 연금형태 설명,,스크립트 참조,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,4. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,5. 소요기간 및 발생 기준일 안내,,"평일기준 1~2일 정도 걸립니다 
[연금지급방법 변경시] 
변경된 주기는 다음해 연금 발생 기준일부터 적용
(ex. 연금개시일 2018.10.10 / 주기변경일 2020.05.10 ->적용일 2020.10.10)",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
59,"EIUL 지수 기간 연장
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 지수 신청 가능 기간 및 단위 안내,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3.  Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
60,"목표 수익률변경
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 변경 전 후 목표 수익률 확인 및 안내,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
61,"VUWL 일시납 
종신보험 전환 신청
",1.  해당 계약 건 확인,,,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,"2. 전환 가능 여부 확인
※[계약자와 피보험자 상이 건] _ 피보험자 동의 녹취 후 접수 가능",,"말씀하신 계약은 확정금리형 일시납형태의 종신보험 계약으로 전환이 가능한 상품입니다. 
종신전환 비교안내서' 작성 후 팩스(or 문자발송) 보내 주시면 전화상 접수 가능한데 신청 하시겠어요? (yes)
※[계약자와 피보험자 상이 건] 종신보험 전환 시에는 피보험자 OOO님의 동의 및 본인 확인(본인 인증)이 필요합니다. 통화 가능한 연락처를 말씀해 주시면 제가 전화 드리겠습니다. ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,3. 전환 시 필수 안내 ,,"종신보험으로 전환 할 경우, 
전환 당시 해지환급금을 일시납보험료로 산출하므로 원금 손실이 있을 수 있고 주계약 보험가입금액이 감소할 수 있으며, 부가 된 특약은 모두 소멸(단, 완납 특약은 유지 여부 선택 가능)되어 해당 보장은 가능하지 않습니다. 또한 전환 변경 후에는 취소가 불가하니 이 점 유의해 주시기 바랍니다. 
(완납 특약 존재 시)보험료 납입이 완료 된 특약은 종신전환 후에도 그대로 유지하실 수 있는데 어떻게 하시겠어요? 유지를 원치 않으실 경우 완납된 특약도 해지 후 해지환급금을 전환 후 계약의 일시납 보험료에 합산하게 됩니다. 
또한 종신전환 후 보험가입금액은 일시납 보험료율에 의해 자동산출 되므로 고객님이 임의로 결정할 수 없으며, 
전환 전 계약의 보험가입금액을 초과할 수 없습니다.
종신전환 후에 가입금액에 대해 감액 및 특약삭제는 가능하나 그외 보험종류/보험기간/납입기간 변경은 불가합니다. 
먼저, 전환하실 경우 변경 전, 후 보험가입금액을 안내 해드리겠습니다.
▶ 현재 보험가입금액은 주계약 oo가입금액 --------원, 00특약 ------원 으로 오늘 기준 해지환급금은 ------원 입니다.(기대출금 존재 시, 대출원금과 이자 공제 후 금액으로 전환금액 산출 됨 안내)
▶ 전환하게 될 경우 보험가입금액은 ----------원, 일시납보험료 ---------원이 되며, 정산 후 환급금액은 -------원 입니다. 
다만 전환전 상품이 변액상품으로 기준가 적용에 따라 가입금액(+-1백만원) 또는 정산후 환급금액이 변동될수 있습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 계약자 본인 인증 (피보험자 상이 시 피보험자 인증 필수),,,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,"※ 계약자가 외국인이면서 반제금 발생 시 
 <비거주자판정기준표> 체크 후 해당 구비서류 안내 및 수령 후 접수",,"우선 신청 전에 '비거주자 판정 기준표'를 작성 해주셔야 하는데요, 전화상 업무이다보니 제가 기준표 상의 체크 항목을 질문 드리면 고객님께서 답변해주시는 것으로 작성을 대신하겠습니다. 괜찮으시죠? (yes)
 -> 비거주자판정기준표 확인 스크립트 참조",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,"5 . Black list 검증 대상자의 국적 및 영문명
5-1. CDD & 실제 소유자 확인",,"접수를 위해 몇 가지 확인 부탁 드리겠습니다. 
(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
* 이 계약의 실제 소유자가 계약자 OOO님 맞으시죠? 
* 신분증 검증(발급일자 등 확인)
* 실례지만, 하시는 일이 어떻게 되시는지요? (+직장명이 어떻게 되십니까?)",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"6. 지급계좌 예금주,은행명,계좌번호 확인",,"반환금액을 받으실 고객님 본인 명의 계좌번호와 은행명 말씀해 주시겠어요?
마지막으로, '종신전환 비교안내서(계약자와 피보험자 작성 및 서명)'는 어떻게 받아보시겠어요? (이메일, 팩스, 우편, 홈페이지 다운)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"7. 접수완료 후, 지급시간  및 안내",,"전환 비교안내서 작성 후 고객센터로 팩스(or 문자전송) 보내주시면 접수 해드리겠습니다. 
접수가 완료되면 고객님의 휴대폰으로 해당 약관에 대한 안내 문자가 발송되니 참고하여 주시고요. 
처리는 (해당상품은 변액상품으로 접수일로 부터 평일기준 + 2영업일에 반영 및 지급되며), 처리가 완료되면 재발행된 증권을 확인하실 수 있는 경로가 문자로 발송되니 참고 하시기 바랍니다. 
(AIA+ 로그인 > 증명서신청클릭 > 가입증서발행확인 클릭 > 증권확인 가능(비밀번호 '생년월일' 입력))",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
